tornado
	2015-04-21 00:23:33RT @JENN_andTONIC: Is all of this rain even necessary .....
	2015-04-21 00:23:33Rain was mad relaxing
	2015-04-21 00:23:33@ChazzRavioli or it's just gonna rain...
	2015-04-21 00:23:32@ArlingtonNatl Cemetery is a great place to explore after a Spring rain: http://t.co/16z08fb4qv #VAhistory
	2015-04-21 00:23:32Life isn't about waiting for the storm to pass..it's about learning to dance in the rain..

#MakeSummerHappy
JK On KrisTV
	2015-04-21 00:23:31I'm thinking about studying abroad if my grants and such can pay for it #causeImbroke
	2015-04-21 00:23:31Seeking shelter in Starbucks after a plan for an evening walk went awfully wrong...#rain #weather #WashingtonDC
	2015-04-21 00:23:22It's actually pretty relaxing turning off all music and movies and just listening to the rain. #3days
	2015-04-21 00:23:20RT @dwtitley: .@SteveSeman my wx station measured max rain rate of 11.2"/hr in College Heights @PSUWeather @NWSStateCollege
	2015-04-21 00:23:20I want it to rain really hard so i can just listen to the rain drops,think ,and sleep
	2015-04-21 00:23:19White House lovely looking thru rain, wind, &amp; lighting http://t.co/u0ngfQcDsv
	2015-04-21 00:23:19RT @YGSLilCj: This rain fucking up a nigga cable
	2015-04-21 00:23:19RT @supergaycamren: Me: Omg is it starting to rain
Lauren: takes off dress
Lauren: I got u http://t.co/HvtkV8fMfy
	2015-04-21 00:23:18RT @PrebleTrack: The High Jump Sanctuary is always open for business. A little rain doesn't stop anything http://t.co/jP6j0CEUAe
	2015-04-21 00:23:18Where are Yall at? I see no rain
	2015-04-21 00:23:09Oh yeah it's about to come down hard. Bring the rain https://t.co/Ylgz6R4OQD
	2015-04-21 00:23:09RT @SportsViness: When rain delays the game! https://t.co/2nSNYbciKE
	2015-04-21 00:23:08None of the other tracks from which Fox will air Sunday races this season have lights. So, no more bumps to FS1 in prime time due to rain.
	2015-04-21 00:23:07Hate the rain cuz
thunder
	2015-04-21 00:23:50yo can this thunder please not get oc im here by myself
	2015-04-21 00:23:48Bored in a thunder storm....just great.
	2015-04-21 00:23:47Bruh my sister just said that this plant was shaking because it was scared of the thunder
	2015-04-21 00:23:44im terrified of thunder no lie
	2015-04-21 00:23:43I like hearing the thunder
