Lauren: I got u http://t.co/HvtkV8fMfy
	2015-04-21 00:39:030Highlights from this evening's walk/run: horses and post-rain mud. @CharityMiles #Kentucky #kykicksass http://t.co/iISPUgeGfo
	2015-04-21 00:39:030@TheBad_Rain @lovescottxx  no problem
	2015-04-21 00:39:025758RT @SportsViness: When rain delays the game! https://t.co/2nSNYbciKE
	2015-04-21 00:39:020@JillianKeat chance of rain + humidity = rock your curls. http://t.co/9pS3N7enSA
	2015-04-21 00:39:0210RT @therepoguy: Walks into your office

Makes it rain paper clips

Walks out.
	2015-04-21 00:39:022RT @newscomauHQ: Cruise ship caught in #sydneystorms http://t.co/yoWbGtFR79 http://t.co/rlSbABezaL
	2015-04-21 00:38:520Wheres the rain.. And the thunder.. Of course nothings happening after i tweet how good the storm will be
	2015-04-21 00:38:529RT @evacruciani: Rain Forest. Hengki Koentjoro. http://t.co/PO0e4TK67t
	2015-04-21 00:38:515758RT @SportsViness: When rain delays the game! https://t.co/2nSNYbciKE
	2015-04-21 00:38:501RT @xJMxRyguy: I liked a @YouTube video from @faze_rain http://t.co/13gzHmFz3S GOODBYE FAZE HOUSE!!
	2015-04-21 00:38:500@GACTrippin1970 We had hard rain last night and then today was sunny, but some coulds rolled in and we had some thunder even. Lol
	2015-04-21 00:38:505758RT @SportsViness: When rain delays the game! https://t.co/2nSNYbciKE
	2015-04-21 00:38:50167RT @planetepics: It might rain... http://t.co/dajEU225ev
	2015-04-21 00:38:495758RT @SportsViness: When rain delays the game! https://t.co/2nSNYbciKE
	2015-04-21 00:38:491@CBS19Weather very heavy rain , thunder and lightening in crozet now
	2015-04-21 00:38:480@NordanOrRain @FaZe_Rain wh
	2015-04-21 00:38:470Ohio skies are killin it lately. Makes up for the rain. http://t.co/ne8oli0cPl
	2015-04-21 00:38:471RT @JadeFuse: I liked a @YouTube video from @faze_rain http://t.co/qSbxzLwVk1 CAMERA SEX PRANK!!
	2015-04-21 00:38:460im soo scared of this storm . i usually love rain
	2015-04-21 00:38:365758RT @SportsViness: When rain delays the game! https://t.co/2nSNYbciKE
	2015-04-21 00:38:361RT @Creed_UK: http://t.co/o9roH6NJ I feel its gunna rain like this for days
	2015-04-21 00:39:164RT @KarahDegnan: i hope it thunder storms tonight
	2015-04-21 00:39:131RT @platinumdrizzy: Tammy storyline was just her trying to have kids, and being scared cause of thunder at a round kitchen table
	2015-04-21 00:39:1232RT @NikeAir247: Air Jordan 14 "Thunder" http://t.co/hP62TIxHCT
	2015-04-21 00:39:111RT @amy_nicholson7: We know it's thunder storming chill
	2015-04-21 00:39:100i need a thunder buddy
	2015-04-21 00:38:590Hate all the thunder
	2015-04-21 00:38:590My scaredy dogs: You can come out of the bathroom now the thunder is rolling off northward i think
	2015-04-21 00:38:580This thunder needs to calm down
	2015-04-21 00:38:560@brittanyjayy11 bc the thunder?
	2015-04-21 00:38:530This Thunder Nd Lightning Is Not Where It'At
	2015-04-21 00:38:530I've never been this scared of thunder.
	2015-04-21 00:38:520Who needs a massage when this thunder is rumbling your body like no other
	2015-04-21 00:38:520Wheres the rain.. And the thunder.. Of course nothings happening after i tweet how good the storm will be
	2015-04-21 00:38:511RT @shawdyysade: we haven't had an actual thunder storm in bricks tho.
	2015-04-21 00:38:510Ew thunder
	2015-04-21 00:38:500@GACTrippin1970 We had hard rain last night and then today was sunny, but some coulds rolled in and we had some thunder even. Lol
	2015-04-21 00:38:491RT @badassdomoo: love and hip hop on and I'm scared to turn on my TV cause of the thunder .
	2015-04-21 00:38:390oh nah this thunder real live shook me
	2015-04-21 00:38:380@KittyKateMD @mindpinball @dennisthecynic I can hear thunder. No rain yet.
	2015-04-21 00:38:383RT @OhhThatssTyraa: Thunder make me very nervous .
	2015-04-21 00:38:380Thunder rumble
	2015-04-21 00:38:370OMG. Is that... thunder? #ConfusedMountainGirlTweets
	2015-04-21 00:38:370Whoop! Here comes the storm! #lightning #thunder #love http://t.co/b2Vmnp1v7x
	2015-04-21 00:38:360Thunder is god bumping trap music
	2015-04-21 00:38:340Sleeping Giant from above- Thunder Bay http://t.co/alHFFd4SG7
	2015-04-21 00:38:340I got a new love and respect for thunder storms
	2015-04-21 00:38:330yall act like yall never heard thunder before stfu
	2015-04-21 00:38:261RT @kennethchilds: THUNDER!!! That means good sleep for me.
	2015-04-21 00:39:070DONT FUCK WITH LIGHTENING!!
	2015-04-21 00:39:050@Pebble @Jonesy @kickstarter #2809 and I thought I was lightening fast. Lol. Need to workout more for the next Pebble.
	2015-04-21 00:38:491@CBS19Weather very heavy rain , thunder and lightening in crozet now
	2015-04-21 00:38:440@capitalweather flash of lightening lit the sky. Silver Spring - Four Corners http://t.co/LKcxIFLd1N
	2015-04-21 00:38:290Spur of the moment hair lightening lol lets see how this goes
	2015-04-21 00:38:220Iont do lightening so I needa hurry up &amp; get in the house
	2015-04-21 00:38:160LIGHTENING http://t.co/mtKtsTWdsu
	2015-04-21 00:37:540This thunder &amp; lightening gotta stop
	2015-04-21 00:37:391RT @Swaggy_Jp_3: Pretty sure our house got shocked by lightening @AlexisPrice96
	2015-04-21 00:37:390i love thunder &amp; lightening
	2015-04-21 00:37:310Idk if you can see but Ansels sitting in the grass watching the lightening and it's really the cutest thing ever http://t.co/hDoEBe7zyh
	2015-04-21 00:37:200Wow! As scary as it was walking to the metro just now, the sky is beautiful. Lightening looks like  veins across the sky. #thunderstorms #DC
	2015-04-21 00:36:580It's not raining anymore but it's still lightening..... I have like a 15 min walk
	2015-04-21 00:36:430So I just made healthy snacks for a girl that runs track , her competitors call her," Lightening." I call her Kristina . :)
	2015-04-21 00:36:431RT @kelseymarie1420: This lightening is kickin
	2015-04-21 00:36:280The lightening storm is crazyy
	2015-04-21 00:36:040Natural skin whitening soap | Best skin lightening natural products http://t.co/IHIoilWkEF
	2015-04-21 00:35:590Oh lovely... Apocalyptic lightening :/
	2015-04-21 00:35:57023-Year-Old Struck By Lightening While self servicing In Bedroom http://t.co/OhsC4xHhW0 #randomnews #world
	2015-04-21 00:35:554RT @BILALSQUIAT: Lightening is so cool
	2015-04-21 00:35:490Doug McLeod I still say a church steeple with a lightening rod on top shows a lack of confidence. :-D
	2015-04-21 00:35:393RT @_kendallswendle: This some national geographic lightening
