tornado
	2015-04-21 00:00:33DC TORNADO WATCH T-STORM http://t.co/Bq60D2cBpS
	2015-04-21 00:00:31Preparing for a tornado starts with having an evacuation plan. Learn what else you need to keep your family safe. http://t.co/FwVdpcUOmB
	2015-04-21 00:00:30Im watching Into The Storm and this is giving secondhand anxiety. HOW AM I GOING TO MAKE IT THROUGH TORNADO SEASON NOW !?!?
	2015-04-21 00:00:29@Swagkage
Unleash mix tapes into a tornado
	2015-04-21 00:00:27@DerekRieder there's a tornado watch dude. That's scary.
	2015-04-21 00:00:26@EdValleeWx @stormchaserQ Pics I have seen look like the storm without a tornado were bad enough. Lots of water.
	2015-04-21 00:00:24tornado warmings..fml
	2015-04-21 00:00:17RT @4cast4you: View of the tornado warned storm from the @abc27 @WeatherBug in Mechanisburg, PA || http://t.co/dGjK7md8S0
	2015-04-21 00:00:10@CoreyKentWhite tornado watch in Lancaster PA- no live show for us!
	2015-04-21 00:00:10RT @morgz_kendigit: I'm not about this tornado warning. I do not have the time.
	2015-04-21 00:00:08one last selfie in case I get tornado-ed http://t.co/V7FNu6NBjQ
	2015-04-21 00:00:031991 MERLIN WWF ITALIAN #56 TEXAS TORNADO POP 3 PSA 9 X1790905-805 http://t.co/WUDYXPQ6KW http://t.co/tW74DKUuRL
	2015-04-21 00:00:02Do not appreciate the song "this is how we roll" coming on while driving home in a tornado
	2015-04-21 00:00:00@hollyhaaart tornado comin in hot
	2015-04-20 23:59:59This fast tornado heading my way http://t.co/9nwdDj6PBh
	2015-04-20 23:59:48Weather forecast for the night, tornado warnings an hour away till 10pm.  Taking   NyQuil and hopefully can finally sleep.
	2015-04-20 23:59:47@sedatedniall try to blow the tornado away as hard as you can
	2015-04-20 23:59:45@AlecRothrock_ @MMIITTCCHHELLLL currently in tornado at moment. Stay safe #savinglives
	2015-04-20 23:59:45RT @weatherchannel: Tornado Warning for Cumberland and Perry Counties in PA until 8:15 PM EDT http://t.co/XdwrkB22Zc
	2015-04-20 23:59:44thank goodness there was no tornado where I was, I have a huge adrenalin rush, and still mentally freaking out.
	2015-04-20 23:59:42RT @BoblawBlizzy: You unfollowed me because all you do is make mistakes
	2015-04-20 23:59:42entro un tornado!! http://t.co/ZCc3Iv8qcn
	2015-04-20 23:59:40there's gonna be a tornado tonight
	2015-04-20 23:59:40elizabeths reaction to tornado!! http://t.co/lJGs2bPumc
	2015-04-20 23:59:39RT @fox5newsdc: Severe Thunderstorm Warning issued until 8:30 pm for DC and several counties in MD, VA. MORE: http://t.co/t19OSFhwGw #fox5dc
	2015-04-20 23:59:25Tornado Watch in effect for Camden, Cumberland, Gloucester and Salem Counties in NJ until 10 PM #njwx http://t.co/pYa2U6Vu9R
	2015-04-20 23:59:25RT @NBCPhiladelphia: FIRST ALERT: Tornado Watch remains in effect for area, TIMELINE of storms HERE: http://t.co/dMEL5JlZ66
